佐藤,1894000
鈴木,1809000
高橋,1425000
田中,1346000
伊藤,1084000
渡辺,1073000
山本,1060000
中村,1053000
小林,1036000
加藤,893000
吉田,837000
山田,820000
佐々木,682000
山口,649000
松本,633000
井上,619000
木村,581000
林,550000
斎藤,548000
清水,536000
山崎,486000
森,469000
池田,454000
橋本,451000
阿部,448000
石川,430000
山下,423000
中島,404000
小川,398000
石井,398000
前田,385000
岡田,382000
長谷川,380000
藤田,378000
後藤,375000
近藤,372000
村上,358000
遠藤,336000
青木,331000
坂本,329000
斉藤,326000
福田,315000
太田,312000
西村,311000
藤井,311000
藤原,299000
岡本,299000
三浦,298000
金子,297000
中野,296000
中川,293000
原田,293000
松田,291000
竹内,288000
小野,283000
田村,282000
中山,271000
和田,269000
石田,268000
森田,262000
上田,250000
原,247000
内田,245000
柴田,244000
酒井,242000
宮崎,239000
横山,238000
高木,235000
安藤,232000
宮本,230000
大野,222000
小島,217000
工藤,217000
谷口,217000
今井,214000
高田,211000
丸山,210000
増田,210000
杉山,208000
村田,207000
大塚,206000
小山,205000
藤本,205000
平野,204000
新井,204000
河野,202000
上野,202000
武田,201000
野口,200000
松井,195000
千葉,195000
菅原,194000
岩崎,193000
久保,189000
木下,189000
佐野,187000
野村,186000
松尾,185000
菊地,184000
杉本,183000
市川,182000
古川,178000
大西,178000
島田,176000
水野,175000
桜井,174000
渡部,173000
高野,173000
吉川,171000
山内,165000
西田,164000
菊池,163000
飯田,162000
西川,162000
小松,161000
北村,159000
安田,158000
五十嵐,158000
川口,156000
平田,155000
関,154000
中田,154000
久保田,153000
東,152000
服部,151000
川崎,151000
岩田,150000
土屋,150000
福島,150000
本田,149000
辻,149000
樋口,148000
田口,147000
永井,147000
秋山,147000
山中,147000
中西,146000
吉村,146000
川上,145000
大橋,142000
石原,142000
松岡,142000
浜田,142000
馬場,142000
森本,140000
矢野,139000
浅野,138000
松下,138000
星野,138000
大久保,138000
吉岡,137000
小池,137000
野田,135000
荒木,133000
熊谷,132000
松浦,132000
大谷,132000
内藤,131000
黒田,129000
尾崎,128000
川村,127000
永田,126000
望月,126000
堀,125000
松村,125000
田辺,125000
菅野,125000
荒井,124000
平井,124000
大島,124000
西山,124000
早川,124000
栗原,123000
広瀬,123000
横田,119000
石橋,118000
岩本,118000
片山,118000
萩原,117000
関口,115000
宮田,115000
大石,114000
本間,114000
須藤,113000
高山,113000
岡崎,112000
小田,112000
吉野,112000
鎌田,111000
伊東,111000
篠原,110000
上原,109000
小西,109000
松原,108000
福井,108000
成田,108000
古賀,107000
大森,107000
南,107000
小泉,106000
奥村,106000
内山,106000
沢田,105000
桑原,105000
三宅,105000
片岡,105000
川島,104000
岡,104000
富田,104000
奥田,103000
八木,103000
杉浦,103000
松永,103000
小沢,102000
北川,102000
平山,101000
河合,101000
牧野,101000
関根,101000
白石,100000
今村,99000
寺田,98700
青山,98300
中尾,97400
小倉,96700
上村,96500
小野寺,96500
渋谷,96500
大山,95700
岡村,95300
坂口,95300
足立,95200
多田,94300
天野,94300
根本,93100
佐久間,92900
豊田,92300
村山,92000
角田,91800
飯塚,91700
田島,91600
西,91500
武藤,91100
竹田,91000
宮下,90700
白井,90500
児玉,90100
塚本,90000
坂田,89800
坂井,89500
水谷,89400
榎本,89200
神谷,88900
小原,87400
齋藤,87200
小笠原,87200
森下,86700
浅井,86500
岡部,86500
中井,86300
植田,86300
神田,86300
河村,85400
前川,84800
宮川,84800
稲垣,84400
大川,84100
長田,82600
松崎,82600
若林,82300
飯島,81700
谷,81500
安部,80900
大沢,80700
石塚,80600
及川,80100
堀内,80000
田代,79100
中嶋,78900
山根,78900
江口,78700
中谷,78500
岸本,77700
荒川,77400
西尾,77300
本多,77300
森山,77000
今野,76700
細川,76600
岡野,76200
金井,76000
安達,75600
戸田,75600
稲葉,75400
津田,75300
森川,75100
土井,75000
星,74900
村松,74700
落合,74600
畠山,74500
三上,74200
町田,73600
長尾,72900
岩井,72700
中原,72600
堤,72300
野崎,70900
中沢,70400
米田,70300
金田,70300
松山,70000
堀田,69500
三好,69400
杉田,69100
西野,69000
佐伯,68800
山岸,68600
西岡,67800
黒川,67300
泉,66900
甲斐,66900
大竹,66500
黒木,65700
笠原,65700
徳永,65400
堀江,65300
川田,65200
大木,65100
須田,65100
岸,65000
山川,64900
古田,64700
新田,64500
梅田,64300
三木,64200
野中,64000
榊原,63700
村井,63000
奥山,62900
土田,62700
滝沢,62000
大村,61800
大城,61700
川端,61300
金城,61100
井口,60500
梶原,60400
大場,59900
吉原,58400
金沢,58400
宮城,58200
宮内,58000
長島,58000
安井,57800
庄司,57500
大内,57400
比嘉,57000
日高,57000
茂木,56800
向井,56800
松島,56600
西本,56500
下田,56400
荻野,56400
塚田,56200
竹中,56200
奥野,56100
石黒,56100
広田,55900
藤川,55800
福本,55700
嶋田,55600
栗田,55600
北野,55300
川原,55300
宇野,55100
谷川,55000
小谷,54900
藤野,54800
吉本,54700
丹羽,54600
藤岡,54500
竹本,54400
竹下,54400
緒方,54100
青柳,54100
藤村,53900
古谷,53900
平川,53600
亀井,53600
高島,53500
三輪,53300
藤沢,53100
窪田,52600
篠崎,52300
宮原,52300
高井,52000
下村,51800
高瀬,51500
山村,51400
川本,51300
根岸,51300
柳沢,51100
出口,51000
横井,50700
小森,50600
吉沢,50500
小澤,50400
武井,50300
長野,50300
竹村,50200
宮沢,49500
平松,49200
福岡,49100
黒沢,48900
溝口,48800
臼井,48800
田原,48700
志村,48700
稲田,48600
浅田,48000
筒井,48000
柳田,47800
大原,47700
林田,47700
大平,47700
永野,47600
冨田,47400
福永,47200
瀬戸,47200
手塚,47100
入江,47100
北原,47000
富永,46900
篠田,46900
鶴田,46600
湯浅,46600
小出,46400
長岡,46400
沼田,46300
高松,46300
矢島,46100
山岡,46100
堀口,45900
大田,45900
岩瀬,45500
石崎,45400
大槻,45400
石山,45300
澤田,45100
相馬,44800
堀川,44800
池上,44700
二宮,44700
園田,44500
平岡,44300
柏木,44200
花田,44100
島崎,43900
杉原,43800
川野,43700
加納,43600
村瀬,43400
片桐,43400
長沢,43300
越智,43300
倉田,43100
内海,43100
野沢,43000
福原,42900
河原,42900
西原,42800
松野,42800
笠井,42700
秋元,42600
小坂,42200
田畑,42100
谷本,41900
日野,41900
千田,41800
渡邊,41600
北島,41500
吉井,41500
深沢,41400
西沢,41200
徳田,41100
相沢,41100
新谷,40700
原口,40700
田上,40700
小柳,40600
菅,40600
米山,40400
細谷,40300
森岡,40200
今泉,40200
畑中,40100
浜野,40000
芳賀,39700
小嶋,39600
大井,39500
秋田,39500
磯部,39400
大崎,39100
白川,39100
植木,39000
坪井,38900
中本,38900
三谷,38800
相原,38800
細田,38800
皆川,38700
荻原,38700
浅見,38700
浜口,38600
福山,38600
岸田,38600
辻本,38400
川瀬,38200
木原,38200
大友,38200
畑,38200
平林,38000
河内,37900
塩田,37900
遠山,37800
島村,37700
古屋,37700
大坪,37600
三井,37500
植村,37500
難波,37500
神山,37400
中里,37400
齊藤,37300
三村,37200
三橋,37100
岩下,37100
大澤,37100
栗山,37000
渡邉,37000
井手,36900
松川,36900
吉永,36800
早坂,36700
川畑,36600
長井,36600
佐竹,36600
井出,36400
河田,36200
亀山,36100
浜崎,36100
橘,36000
川合,36000
朝倉,36000
柳,36000
草野,35900
堀井,35500
保坂,35300
志賀,35200
村岡,35200
尾形,35200
高村,35100
半田,35000
狩野,35000
若松,35000
水上,35000
小宮,34900
大津,34800
高岡,34800
中根,34700
亀田,34700
高柳,34700
立石,34700
柴崎,34500
市村,34400
三島,34400
瀬川,34400
寺島,34300
奈良,34300
清野,34200
真鍋,34100
武内,34100
平,34000
玉井,34000
水口,33900
新垣,33900
内野,33900
藤崎,33800
植松,33800
木内,33800
大沼,33700
江藤,33700
進藤,33700
久野,33700
橋口,33700
高見,33600
深谷,33600
寺本,33500
玉城,33400
宮地,33300
織田,33300
守屋,33200
河本,33100
藤森,33100
菅谷,33000
毛利,33000
大江,32800
宮島,32800
並木,32800
有馬,32800
那須,32700
下山,32700
有田,32700
高原,32600
市原,32500
矢部,32400
飯野,32100
鳥居,32100
北山,32100
坂下,32000
石渡,32000
関谷,32000
松沢,32000
板垣,32000
野上,31800
前原,31600
三原,31600
牧,31600
坂上,31500
川井,31300
立花,31300
田崎,31200
葛西,31200
平尾,31100
松木,31100
岩佐,31100
外山,31000
高尾,30800
成瀬,30700
長谷,30700
小室,30700
三田,30600
染谷,30600
阪本,30600
滝本,30600
長瀬,30500
宇佐美,30400
野本,30300
小寺,30200
塚原,30200
板倉,30200
高崎,30200
秋葉,30200
山城,30100
門脇,30100
滝口,30000
石垣,30000
山野,29900
長谷部,29900
海野,29900
井田,29800
土居,29800
大倉,29800
秦,29800
和泉,29700
江崎,29700
正木,29600
仲村,29500
今田,29500
高梨,29500
中澤,29300
椎名,29300
相川,29300
奥,29100
平塚,29100
小関,29100
島,29000
宍戸,29000
岩永,28900
藤木,28900
都築,28900
西谷,28800
木田,28800
細井,28700
江川,28700
金谷,28700
金山,28600
堀越,28600
小杉,28600
石丸,28600
乾,28500
田川,28500
永山,28500
諏訪,28500
金森,28400
森谷,28400
黒岩,28300
下川,28200
富樫,28200
小畑,28100
細野,28100
杉村,28000
布施,27900
梅原,27900
野原,27900
上山,27900
山上,27800
大貫,27800
北田,27800
石本,27800
米沢,27800
大熊,27800
豊島,27800
小野田,27800
宮脇,27700
赤松,27700
末永,27700
阿久津,27600
大矢,27500
古沢,27400
宮野,27400
塩谷,27200
今西,27200
倉持,27200
水田,27100
島袋,27000
風間,27000
麻生,26900
本橋,26900
香川,26900
仲田,26900
菅沼,26800
坂元,26800
生田,26800
門田,26800
小幡,26700
喜多,26700
井川,26600
西口,26500
大庭,26500
大和田,26400
中林,26300
小久保,26200
梅本,26200
平良,26100
岩渕,26100
須賀,26100
浦田,26100
富岡,26100
佐川,26100
浜本,26000
岩間,26000
杉野,25900
大滝,25900
矢口,25900
土橋,25900
日下,25800
木本,25800
川辺,25800
木戸,25800
海老原,25800
永島,25700
波多野,25700
金丸,25500
長崎,25500
羽田,25400
砂川,25400
小椋,25300
目黒,25200
平沢,25200
森脇,25200
立川,25200
小沼,25200
雨宮,25200
真田,25100
浅川,25100
白鳥,25100
依田,25100
山形,25100
深田,25000
板橋,25000
神崎,25000
濱田,25000
石坂,25000
影山,25000
大畑,24900
曽根,24900
寺尾,24900
矢田,24800
松元,24700
山元,24600
北沢,24500
高倉,24400
三枝,24400
勝又,24400
赤木,24300
橋爪,24300
梅津,24200
清田,24200
宇田川,24200
丹野,24100
宇都宮,24100
柳川,24000
芦田,24000
尾上,24000
瀬尾,23900
岩城,23900
櫻井,23800
神野,23800
横尾,23700
柳原,23600
池内,23600
鶴岡,23600
江原,23600
坂野,23500
栗林,23500
西脇,23500
桑田,23500
久米,23400
角,23400
結城,23400
吉澤,23400
川西,23300
日比野,23300
森口,23300
西島,23300
大嶋,23200
梅村,23200
小堀,23200
上杉,23200
手島,23100
飛田,23100
井原,23100
浦野,23100
小菅,23100
首藤,23000
赤坂,23000
玉置,23000
田端,22900
青野,22900
北,22800
柏原,22800
横川,22700
小玉,22600
